id,title,author,theme,type,issue,issueLabel,href,season,image
astrologie,Des messages (ésotériques) dans les étoiles ?,Gay Charley,astrophysique,article,4,#4 · Mars 2026,https://heyzine.com/flip-book/5edd108961.html#page/4,1,../media/articles/serotine4_1.webp
voie_lactee,7 merveilles du ciel nocturne : La Voie Lactée,Duchêne Léo,astrophysique,merveilles,4,#4 · Mars 2026,https://heyzine.com/flip-book/5edd108961.html#page/16,1,../media/articles/serotine4_2.webp
betelgeuse,"Bételgeuse, l'étoile au sommet de la hype",Daveau Quentin,astrophysique,article,4,#4 · Mars 2026,https://heyzine.com/flip-book/5edd108961.html#page/20,1,../media/articles/serotine4_3.webp
crush,Les secrets insoupçonnés du « crush »,Daveau Quentin,sociologie,article,3,#3 · Fév. 2026,https://heyzine.com/flip-book/d5c17bee9a.html#page/4,1,../media/articles/serotine3_1.webp
ode_celeste,Ode céleste,Amaëline,astrophysique,poesie,3,#3 · Fév. 2026,https://heyzine.com/flip-book/d5c17bee9a.html#page/12,1,../media/articles/serotine3_2.webp
tca,"Red flags et nourriture, quand les TCA s'invitent à table",Bacquet Isaora,psychologie,article,3,#3 · Fév. 2026,https://heyzine.com/flip-book/d5c17bee9a.html#page/15,1,../media/articles/serotine3_3.webp
hydrocerame,"Les hydrocérames, ces vases qui suent",Pillot Hector,physique,article,2,#2 · Déc. 2025,https://heyzine.com/flip-book/5f6791f646.html#page/4,1,../media/articles/serotine2_1.webp
aphantasie_sudoku_2,Ceci n'est pas un bouquet de fleurs (Sudoku) — Solution,Bosse Léo,,jeu,2,#2 · Déc. 2025,https://heyzine.com/flip-book/5f6791f646.html#page/16,1,../media/articles/serotine1_2.webp
planete_neuf,Une neuvième planète dans notre système solaire,Gay Charley,astrophysique,article,2,#2 · Déc. 2025,https://heyzine.com/flip-book/5f6791f646.html#page/18,1,../media/articles/serotine2_2.webp
aphantasie,L'aphantasie,Bacquet Isaora,psychologie,article,1,#1 · Nov. 2025,https://heyzine.com/flip-book/78d38fd9ec.html#page/4,1,../media/articles/serotine1_1.webp
aphantasie_sudoku,Ceci n'est pas un bouquet de fleurs (Sudoku),Bosse Léo,,jeu,1,#1 · Nov. 2025,https://heyzine.com/flip-book/78d38fd9ec.html#page/16,1,../media/articles/serotine1_2.webp
respirer_par_anus,Peut-on respirer par l'anus ?,Gachod Pierre,biologie,article,1,#1 · Nov. 2025,https://heyzine.com/flip-book/78d38fd9ec.html#page/18,1,../media/articles/serotine1_3.webp
nuages_noctulescents,"7 Merveilles du ciel nocturne : les nuages noctulescents",Duchêne Léo,astrophysique,merveilles,5,#5 · Mai 2026,https://heyzine.com/flip-book/c5bd9067c1.html#page/6,2,../media/articles/serotine5_1.webp
Sue_doku,Sue-doku,Bosse Léo,,jeu,5,#5 · Mai 2026,https://heyzine.com/flip-book/c5bd9067c1.html#page/16,2,../media/articles/serotine5_2.webp
flore_polaire,De la flore dans les régions polaires ?,Strohmeyer Ninon,biologie,article,5,#5 · Mai 2026,https://heyzine.com/flip-book/c5bd9067c1.html#page/18,2,../media/articles/serotine5_3.webp
geodynamo,D'où vient le champ magnétique de la Terre primitive ?,Pillot Hector,physique,article,6,#6 · Juillet 2026,https://serotine-webzine.aflip.in/907e4e9b03.html#page/6,2,../media/articles/serotine6_1.webp
sudonova,SudoNova,Bosse Léo,,jeu,6,#6 · Juillet 2026,https://serotine-webzine.aflip.in/907e4e9b03.html#page/18,2,../media/articles/serotine6_2.webp
fusees_paralleles,Fusées parallèles,Emy crayonne,,poesie,6,#6 · Juillet 2026,https://serotine-webzine.aflip.in/907e4e9b03.html#page/20,2,../media/articles/serotine6_3.webp
